timestamp,url,text_list,link_list
2026-04-07 15:11:37,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,N/A (Selector 'div.w2group.ty3' not found),
2026-04-06 13:08:52,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,N/A (Selector 'div.w2group.ty3' not found),
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,전체보기,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,기술개발,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,판로지원,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,동반성장,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,창업지원,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,제21기 K-water 협력 스타트업 모집 공고,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2026년도 상반기 K-water 등록기술 상시공모(중소기업 기술마켓 통해 접수),
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2026-01-01~2026-06-30,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,[특정공법·자재 기술제안 공모] 신기술 보유자 제재사항 알림,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2025-12-01~2026-12-31,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,(안내) K-water 기술기준 안내,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2025-02-01~2026-12-31,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,"「보령댐 광역상수도 노후관 개량사업(1차, 당진계통), 부단수 차단공법」",
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2026-04-03~2026-04-16,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,"「전남남부권광역 덕정정수장 정수지 #1지 내부 방식공사, 수처리구조물 방수방식(패널계)」",
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2026-03-26~2026-04-08,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,접수중,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,기술활용,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,"(정정공고)「송산그린시티 도시체계 개선공사, 합성형라멘교 거더 공법」",
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,신청기간 :,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2026-03-18~2026-04-07,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,신청하기,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,공지사항,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2026년 벤처창업기업제품 추천기업 모집 공고(2차),
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2026-04-06,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,워터라운드 스타트업 모집공고,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2026-03-10,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2026년 중소기업 기술협력 지원제도 통합공모 안내 (~3.26(목) 18시까지),
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,2026-03-06,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,위로이동,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,아래로이동,
2026-04-06 11:36:45,https://www.kwater.or.kr/wis/wq/index.do?w2xPath=/wis/ui/index.xml,더보기,
